Numeric ID	Editor ID	Constructible Object: Base Return Curve	Constructible Object: Exclude From Workshop LOD	Constructible Object: Filter Not Required To Learn	Constructible Object: Learn Chance	Constructible Object: Learn Method	Constructible Object: Max Workshop Count	Constructible Object: Recipe Filters	Constructible Object: Repair Recipe	Constructible Object: Value	Constructible Object: Workbench Keyword	Description: Description <<TESDescription_Component>>	Form: Child Can Use	Form: Created Item	Form: Has Currents	Form: NavMesh Import Collision	Form: Num Created Items	Form: On Local Map	Form: Playable	Form: Sorting Priority	Form: Tier	Form: Used As Platform	Full Name: Full Name <<TESFullName_Component>>	Requirements: Required Items	Requirements: Required Perks	Requirements: Workbench Keyword	Required Items List
(002AA573)	co_ammo_11mm	None	false	false	None	Default	None			0	WorkbenchIndustrialKeyword		false	Ammo11mm	false	Collision Geometry	10	true	true	0.0000	Tier 0	false		ResInorgCommonLead::{3, <None>}, ResInorgRareVanadium::{2, <None>}, ResInorgRareTitanium::{2, <None>}, ResLargePrimer::{1, <None>}		WorkbenchIndustrialKeyword	ResInorgCommonLead::3, ResInorgRareVanadium::2, ResInorgRareTitanium::2, ResLargePrimer::1
(002BBFAC)	co_ammo_12gShotgunShell	None	false	false	None	Default	None			0	WorkbenchIndustrialKeyword		false	AmmoShotgun	false	Collision Geometry	6	true	true	0.0000	Tier 0	false		ResInorgCommonCopper::{3, <None>}, ResInorgCommonLead::{3, <None>}, ResInorgUncommonTungsten::{2, <None>}, ResLargePrimer::{1, <None>}		WorkbenchIndustrialKeyword	ResInorgCommonCopper::3, ResInorgCommonLead::3, ResInorgUncommonTungsten::2, ResLargePrimer::1
(002AA56C)	co_ammo_27Caliber	None	false	false	None	Default	None			0	WorkbenchIndustrialKeyword		false	Ammo27Caliber	false	Collision Geometry	14	true	true	0.0000	Tier 0	false		ResInorgCommonCopper::{3, <None>}, ResInorgCommonLead::{3, <None>}, ResInorgCommonNickel::{3, <None>}, ResSmallPrimer::{1, <None>}		WorkbenchIndustrialKeyword	ResInorgCommonCopper::3, ResInorgCommonLead::3, ResInorgCommonNickel::3, ResSmallPrimer::1
(002AA89E)	co_ammo_40mmXPL	None	false	false	None	Default	None			0	WorkbenchIndustrialKeyword		false	Ammo40mmXPL	false	Collision Geometry	1	true	true	0.0000	Tier 0	false		ResInorgCommonAluminum::{3, <None>}, ResInorgCommonIron::{3, <None>}, ResOrgExoticSolvent::{3, <None>}, ResLargePrimer::{1, <None>}		WorkbenchIndustrialKeyword	ResInorgCommonAluminum::3, ResInorgCommonIron::3, ResOrgExoticSolvent::3, ResLargePrimer::1
(002AA572)	co_ammo_43Ultramag	None	false	false	None	Default	None			0	WorkbenchIndustrialKeyword		false	Ammo43Ultramag	false	Collision Geometry	9	true	true	0.0000	Tier 0	false		ResInorgCommonCopper::{3, <None>}, ResInorgCommonLead::{3, <None>}, ResInorgRareTitanium::{3, <None>}, ResSmallPrimer::{1, <None>}		WorkbenchIndustrialKeyword	ResInorgCommonCopper::3, ResInorgCommonLead::3, ResInorgRareTitanium::3, ResSmallPrimer::1
(002AA56D)	co_ammo_45Caliber	None	false	false	None	Default	None			0	WorkbenchIndustrialKeyword		false	Ammo45Caliber	false	Collision Geometry	7	true	true	0.0000	Tier 0	false		ResInorgCommonCopper::{2, <None>}, ResInorgCommonLead::{2, <None>}, ResInorgRareMercury_L::{3, <None>}, ResSmallPrimer::{1, <None>}		WorkbenchIndustrialKeyword	ResInorgCommonCopper::2, ResInorgCommonLead::2, ResInorgRareMercury_L::3, ResSmallPrimer::1
(002AA571)	co_ammo_50Caliber	None	false	false	None	Default	None			0	WorkbenchIndustrialKeyword		false	Ammo50Caliber	false	Collision Geometry	12	true	true	0.0000	Tier 0	false		ResInorgCommonCopper::{3, <None>}, ResInorgCommonLead::{3, <None>}, ResInorgRareVanadium::{3, <None>}, ResSmallPrimer::{1, <None>}		WorkbenchIndustrialKeyword	ResInorgCommonCopper::3, ResInorgCommonLead::3, ResInorgRareVanadium::3, ResSmallPrimer::1
(002AA56E)	co_ammo_65mm	None	false	false	None	Default	None			0	WorkbenchIndustrialKeyword		false	Ammo65mm	false	Collision Geometry	10	true	true	0.0000	Tier 0	false		ResInorgCommonCopper::{3, <None>}, ResInorgCommonLead::{3, <None>}, ResInorgCommonNickel::{3, <None>}, ResSmallPrimer::{1, <None>}		WorkbenchIndustrialKeyword	ResInorgCommonCopper::3, ResInorgCommonLead::3, ResInorgCommonNickel::3, ResSmallPrimer::1
(002AA55F)	co_ammo_75mmWhitehot	None	false	false	None	Default	None			0	WorkbenchIndustrialKeyword		false	Ammo75mmWhitehot	false	Collision Geometry	7	true	true	0.0000	Tier 0	false		ResInorgCommonAluminum::{2, <None>}, ResInorgCommonLead::{2, <None>}, ResOrgExoticSolvent::{2, <None>}, ResSmallPrimer::{1, <None>}		WorkbenchIndustrialKeyword	ResInorgCommonAluminum::2, ResInorgCommonLead::2, ResOrgExoticSolvent::2, ResSmallPrimer::1
(002BB973)	co_ammo_762mm	None	false	false	None	Default	None			0	WorkbenchIndustrialKeyword		false	Ammo762mm	false	Collision Geometry	20	true	true	0.0000	Tier 0	false		ResInorgCommonCopper::{3, <None>}, ResInorgCommonLead::{3, <None>}, ResInorgCommonUranium::{3, <None>}, ResLargePrimer::{1, <None>}		WorkbenchIndustrialKeyword	ResInorgCommonCopper::3, ResInorgCommonLead::3, ResInorgCommonUranium::3, ResLargePrimer::1
