Numeric ID	Editor ID	Form: Child Can Use	Form: Has Currents	Form: NavMesh Import Collision	Form: On Local Map	Form: Playable	Form: Used As Platform	Full Name: Full Name <<TESFullName_Component>>	Keyword: Keywords <<BGSKeywordForm_Component>>	Resource: Art Name	Resource: Child Resources	Resource: Color	Resource: Resource AV	Resource: Round End Points	Resource: Scarcity
(0012C5AA)	MQArmillaryResource	false	false	Collision Geometry	true	true	false	Armillary		Armillary		R: 59 G: 66 B: 74	MQ_ArmillaryResourceAV	false	Common
(0021E6FF)	OutpostCargoLinkInterSystem	false	false	Collision Geometry	true	true	false	Inter-System Cargo Link		InterSystemCargoLink		R: 59 G: 66 B: 74	ResourceOutpostCargoLinkAV	false	Common
(002407E1)	ResBuildTest01	false	false	Collision Geometry	true	true	false	Test 1		ResBuildTest01		R: 59 G: 66 B: 74	ResourceBuildTest01	false	Common
(002407DF)	ResBuildTest02	false	false	Collision Geometry	true	true	false	Test 2		ResBuildTest02		R: 59 G: 66 B: 74	ResourceBuildTest02	false	Common
(002407DD)	ResBuildTest03	false	false	Collision Geometry	true	true	false	Test 3		ResBuildTest03		R: 59 G: 66 B: 74	ResourceBuildTest03	false	Common
(0003F000)	ResCraftingGenericDescription	false	false	Collision Geometry	true	true	false		keywords[0]::ResourceTypeCraftingGeneric [id:0x0003f001]			R: 0 G: 0 B: 0	None	false	Common
(0029B032)	ResGastroBeans	false	false	Collision Geometry	true	true	false	Beans	keywords[0]::FoodResource [id:0x0029b03c]	Beans		R: 119 G: 84 B: 49	None	false	Common
(0029B02E)	ResGastroBeer	false	false	Collision Geometry	true	true	false	Beer	keywords[0]::FoodResource [id:0x0029b03c]	Beer		R: 202 G: 167 B: 28	None	false	Common
(0029B033)	ResGastroBread	false	false	Collision Geometry	true	true	false	Bread	keywords[0]::FoodResource [id:0x0029b03c]	Bread		R: 181 G: 128 B: 74	None	false	Common
(00238228)	ResGastroChasmbassOil	false	false	Collision Geometry	true	true	false	Chasmbass Oil	keywords[0]::FoodResource [id:0x0029b03c]	ChasmbassOil		R: 255 G: 26 B: 238	None	false	Common
(0029B02A)	ResGastroCheese	false	false	Collision Geometry	true	true	false	Cheese	keywords[0]::FoodResource [id:0x0029b03c]	Cheese		R: 255 G: 226 B: 94	None	false	Common
(0029B017)	ResGastroCoffee	false	false	Collision Geometry	true	true	false	Coffee	keywords[0]::FoodResource [id:0x0029b03c]	Coffee		R: 35 G: 30 B: 5	None	false	Common
(0029B030)	ResGastroDairy	false	false	Collision Geometry	true	true	false	Dairy	keywords[0]::FoodResource [id:0x0029b03c]	Dairy		R: 255 G: 253 B: 244	None	false	Common
(0029B034)	ResGastroEgg	false	false	Collision Geometry	true	true	false	Egg	keywords[0]::FoodResource [id:0x0029b03c]	Egg		R: 255 G: 255 B: 255	None	false	Common
(0029B02D)	ResGastroLiquor	false	false	Collision Geometry	true	true	false	Liquor	keywords[0]::FoodResource [id:0x0029b03c]	Liquor		R: 196 G: 115 B: 26	None	false	Common
(0029B036)	ResGastroNoodles	false	false	Collision Geometry	true	true	false	Noodles	keywords[0]::FoodResource [id:0x0029b03c]	Noodles		R: 255 G: 255 B: 159	None	false	Common
(0029B039)	ResGastroPoultry	false	false	Collision Geometry	true	true	false	Poultry	keywords[0]::FoodResource [id:0x0029b03c]	Poultry		R: 255 G: 238 B: 221	None	false	Common
(0029B03B)	ResGastroRedMeat	false	false	Collision Geometry	true	true	false	Red Meat	keywords[0]::FoodResource [id:0x0029b03c]	RedMeat		R: 128 G: 0 B: 0	None	false	Common
